Year,Players,Matches,Innings,NO,Runs,Runs / Innings,Highest,Average,100,50,0
1985,120,21,706,97,19450,27.550,215,31.93,37,88,59
1986,139,30,972,137,24837,25.552,210,29.74,51,104,93
1987,129,25,796,112,20884,26.236,260,30.53,39,92,80
1988,131,24,861,114,20450,23.751,211,27.37,25,95,86
1989,131,21,673,99,21071,31.309,271,36.7,47,98,59
1990,126,26,892,125,22591,25.326,333,29.45,46,92,118
1991,109,21,715,98,19088,26.697,299,30.93,31,97,77
1992,159,26,925,124,23507,25.413,206,29.34,47,116,100
1993,174,36,1183,156,31654,26.757,277,30.82,50,172,141
1994,168,38,1361,170,36337,26.699,375,30.5,55,182,143
1995,177,40,1386,177,33920,24.473,219,28.05,49,172,163
1996,171,28,1031,136,25564,24.795,257*,28.56,47,119,109
1997,174,44,1507,193,39896,26.474,340,30.36,77,189,163
1998,193,45,1635,204,40256,24.621,334*,28.13,69,184,203
1999,195,43,1512,200,38349,25.363,275*,29.22,76,175,205
2000,205,46,1607,209,38436,23.918,232*,27.49,69,159,185
2001,226,55,1899,255,52015,27.391,281,31.63,105,250,235
2002,212,54,1899,233,50820,26.761,329,30.5,100,228,246
2003,203,44,1558,211,45791,29.391,380,33.99,99,194,160
2004,213,51,1839,234,53325,28.997,400*,33.22,119,231,197
2005,198,49,1774,220,48607,27.400,317,31.27,100,201,197
2006,164,46,1660,214,46875,28.238,374,32.41,95,208,181
2007,154,31,1098,153,31121,28.343,239,32.93,65,142,115
2008,161,47,1702,218,47517,27.918,319,32.01,96,221,168
2009,171,41,1432,180,44710,31.222,313,35.71,97,217,147
2010,176,43,1499,201,44798,29.885,333,34.51,98,214,149
2011,184,39,1450,180,39073,26.947,294,30.76,72,200,157
2012,179,42,1513,207,42461,28.064,329*,32.51,89,177,165
2013,197,44,1623,207,43506,26.806,234,30.72,92,200,177
2014,194,41,1533,197,45768,29.855,319,34.25,110,194,151
2015,170,43,1562,196,42690,27.330,290,31.25,83,190,169
2016,195,47,1683,209,47177,28.031,303*,32,90,222,177
2017,191,47,1757,215,47446,27.004,244*,30.76,92,228,173
2018,218,48,1888,211,44088,23.352,264*,26.28,68,214,242
2019,211,39,1398,178,35797,25.606,335*,29.34,72,156,167
2020,155,22,768,98,19642,25.576,267,29.31,26,100,80
2021,202,33,1213,152,29925,24.670,244,28.2,48,138,179
